,ln+_line_number_(readonly)+,rn+_relative_number_(readonly)+,xb+_begin_of_sample,yb+_begin_of_sample,zb+_begin_of_sample,xe+_end_of_sample,ye+_end_of_sample,ze+_end_of_sample,bhid,from,to,x,y,z,al2o3_gl,cao_gl,fe_gl,mgo_gl,mn_gl,p_gl,sio2_gl,tio2_gl,ppc_gl,re_gt63c,ibs,hba,ibg,ibr,ibm,hcp,ics,icr,icg,icm,icc,cp,sn,eng,lito,soma,lito_eval,evaluation
0,1,1,612567.57,7738515.19,1306.78,612562.81,7738513.93,1296.09,CNFDC14001          ,16.92,28.7,612565.19,7738514.56,1301.43,2.74,0.03,61.0,0.05,0.1,0.082,9.08,0.28,0.03,7.69,1,0,0,0,0,0,0,0,0,0,0,0,1,0,IS,1,IR,False
1,1,2,612562.81,7738513.93,1296.09,612558.04,7738512.67,1285.39,CNFDC14001          ,28.7,40.48,612560.42,7738513.3,1290.74,2.57,0.03,61.179,0.05,0.082,0.061,7.789,0.172,1.249,4.355,1,0,0,0,0,0,0,0,0,0,0,0,1,0,IS,1,IR,False
2,1,3,612558.04,7738512.67,1285.39,612553.27,7738511.41,1274.69,CNFDC14001          ,40.48,52.26,612555.65,7738512.04,1280.04,3.01,0.03,61.676,0.05,0.072,0.05,6.205,0.223,1.374,2.511,1,0,0,0,0,0,0,0,0,0,0,0,1,0,IS,1,IR,False
3,1,5,612547.81,7738509.97,1262.44,612543.83,7738508.92,1253.51,CNFDC14001          ,65.75,75.58,612545.82,7738509.44,1257.98,1.72,0.04,64.9,0.05,0.04,0.053,2.86,0.13,1.1,17.89,0,1,0,0,0,0,0,0,0,0,0,0,1,0,HM,1,HM,True
4,1,6,612543.83,7738508.92,1253.51,612539.85,7738507.87,1244.59,CNFDC14001          ,75.58,85.41,612541.84,7738508.39,1249.05,1.166,0.05,66.187,0.05,0.426,0.071,2.721,0.061,1.08,24.076,0,1,0,0,0,0,0,0,0,0,0,0,1,0,HM,1,HM,True
5,1,7,612539.85,7738507.87,1244.59,612533.3,7738506.14,1229.88,CNFDC14001          ,85.41,101.6,612536.57,7738507.0,1237.23,2.575,0.055,58.748,0.1,4.341,0.347,2.83,0.16,4.785,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,IG,1,IR,False
6,2,1,612564.66,7738471.41,1323.22,612559.47,7738469.92,1310.64,CNFDC14002          ,0.0,13.7,612562.07,7738470.67,1316.93,3.063,0.034,41.786,0.05,0.031,0.03,35.679,0.149,1.378,2.136,1,0,0,0,0,0,0,0,0,0,0,0,1,0,IS,1,IS,True
7,2,2,612559.47,7738469.92,1310.64,612554.27,7738468.44,1298.05,CNFDC14002          ,13.7,27.4,612556.87,7738469.18,1304.34,3.735,0.04,36.77,0.05,0.05,0.049,40.794,0.183,1.93,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,IS,1,IS,True
8,2,3,612554.27,7738468.44,1298.05,612549.07,7738466.95,1285.46,CNFDC14002          ,27.4,41.1,612551.67,7738467.7,1291.75,2.406,0.035,44.351,0.05,0.05,0.05,31.505,0.13,1.506,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,IS,1,IS,True
9,2,4,612549.07,7738466.95,1285.46,612543.87,7738465.47,1272.87,CNFDC14002          ,41.1,54.8,612546.47,7738466.21,1279.17,2.857,0.03,53.868,0.05,0.069,0.16,17.721,0.291,2.213,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,IS,1,IS,True
10,2,5,612543.87,7738465.47,1272.87,612537.87,7738463.75,1258.36,CNFDC14002          ,54.8,70.6,612540.87,7738464.61,1265.61,1.001,0.043,63.255,0.05,0.05,0.089,7.807,0.096,1.103,1.413,0,0,0,1,0,0,0,0,0,0,0,0,1,0,IR,1,IR,True
11,2,6,612537.87,7738463.75,1258.36,612531.88,7738462.04,1243.84,CNFDC14002          ,70.6,86.4,612534.87,7738462.9,1251.1,1.348,0.056,63.776,0.05,0.606,0.082,5.29,0.087,1.784,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,IR,1,IR,True
12,2,7,612531.88,7738462.04,1243.84,612526.63,7738460.54,1231.13,CNFDC14002          ,86.4,100.23,612529.25,7738461.29,1237.49,3.047,0.045,58.711,0.116,3.717,0.248,4.041,0.155,4.316,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,IM,1,IR,False
13,3,1,612532.55,7738513.66,1323.72,612526.13,7738512.42,1312.48,CNFDC14003          ,0.0,13.0,612529.34,7738513.04,1318.1,1.66,0.06,61.7,0.05,0.06,0.096,7.8,0.13,1.73,5.04,0,0,0,1,0,0,0,0,0,0,0,0,1,0,IR,1,IR,True
14,3,2,612526.13,7738512.42,1312.48,612519.71,7738511.23,1301.24,CNFDC14003          ,13.0,26.0,612522.92,7738511.82,1306.86,1.53,0.05,63.9,0.05,0.5,0.045,4.41,0.14,1.05,3.33,0,0,0,1,0,0,0,0,0,0,0,0,1,0,IR,1,IR,True
15,3,3,612519.71,7738511.23,1301.24,612514.74,7738510.34,1292.61,CNFDC14003          ,26.0,36.0,612517.23,7738510.79,1296.92,0.89,0.12,67.1,0.05,0.05,0.042,2.49,0.1,0.48,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,HM,1,HM,True
16,3,4,612514.74,7738510.34,1292.61,612509.18,7738509.35,1282.99,CNFDC14003          ,36.0,47.15,612511.96,7738509.85,1287.8,1.23,0.04,62.6,0.05,3.83,0.075,1.65,0.08,2.82,25.77,0,0,0,0,1,0,0,0,0,0,0,0,1,0,IM,1,IR,False
17,3,5,612509.18,7738509.35,1282.99,612502.38,7738508.16,1271.26,CNFDC14003          ,47.15,60.767,612505.78,7738508.76,1277.13,1.437,0.033,64.91,0.05,1.431,0.142,1.536,0.091,2.496,16.604,0,1,0,0,0,0,0,0,0,0,0,0,1,0,HM,1,HM,True
18,3,6,612502.38,7738508.16,1271.26,612495.51,7738506.96,1259.56,CNFDC14003          ,60.767,74.383,612498.94,7738507.56,1265.41,0.394,0.046,68.982,0.05,0.088,0.044,0.561,0.03,0.548,15.143,0,1,0,0,0,0,0,0,0,0,0,0,1,0,HM,1,HM,True
19,3,7,612495.51,7738506.96,1259.56,612488.58,7738505.77,1247.9,CNFDC14003          ,74.383,88.0,612492.04,7738506.36,1253.73,0.258,0.03,68.944,0.05,0.03,0.035,0.555,0.021,0.376,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,HM,1,HM,True
