,bhid,from,to,x,y,z,al2o3_gl,cao_gl,fe_gl,mgo_gl,mn_gl,p_gl,sio2_gl,tio2_gl,ppc_gl,lito,lito_eval,lito_ds,lito_km,lito_ag
0,CNFDC14001          ,16.92,28.7,612565.19,7738514.56,1301.43,2.74,0.03,61.0,0.05,0.1,0.082,9.08,0.28,0.03,IS,IR,IR,IR,IR
1,CNFDC14001          ,28.7,40.48,612560.42,7738513.3,1290.74,2.57,0.03,61.179,0.05,0.082,0.061,7.789,0.172,1.249,IS,IR,IR,IR,IR
2,CNFDC14001          ,40.48,52.26,612555.65,7738512.04,1280.04,3.01,0.03,61.676,0.05,0.072,0.05,6.205,0.223,1.374,IS,IR,IR,IR,HM
3,CNFDC14001          ,65.75,75.58,612545.82,7738509.44,1257.98,1.72,0.04,64.9,0.05,0.04,0.053,2.86,0.13,1.1,HM,HM,IR,HM,HM
4,CNFDC14001          ,75.58,85.41,612541.84,7738508.39,1249.05,1.166,0.05,66.187,0.05,0.426,0.071,2.721,0.061,1.08,HM,HM,IR,HM,HM
5,CNFDC14001          ,85.41,101.6,612536.57,7738507.0,1237.23,2.575,0.055,58.748,0.1,4.341,0.347,2.83,0.16,4.785,IG,IR,IR,IR,HM
6,CNFDC14002          ,0.0,13.7,612562.07,7738470.67,1316.93,3.063,0.034,41.786,0.05,0.031,0.03,35.679,0.149,1.378,IS,IS,IS,IG,IS
7,CNFDC14002          ,13.7,27.4,612556.87,7738469.18,1304.34,3.735,0.04,36.77,0.05,0.05,0.049,40.794,0.183,1.93,IS,IS,IS,IG,IS
8,CNFDC14002          ,27.4,41.1,612551.67,7738467.7,1291.75,2.406,0.035,44.351,0.05,0.05,0.05,31.505,0.13,1.506,IS,IS,IS,IG,IG
9,CNFDC14002          ,41.1,54.8,612546.47,7738466.21,1279.17,2.857,0.03,53.868,0.05,0.069,0.16,17.721,0.291,2.213,IS,IS,IR,IG,IM
10,CNFDC14002          ,54.8,70.6,612540.87,7738464.61,1265.61,1.001,0.043,63.255,0.05,0.05,0.089,7.807,0.096,1.103,IR,IR,IR,IR,HM
11,CNFDC14002          ,70.6,86.4,612534.87,7738462.9,1251.1,1.348,0.056,63.776,0.05,0.606,0.082,5.29,0.087,1.784,IR,IR,IR,IR,HM
12,CNFDC14002          ,86.4,100.23,612529.25,7738461.29,1237.49,3.047,0.045,58.711,0.116,3.717,0.248,4.041,0.155,4.316,IM,IR,IR,IR,HM
13,CNFDC14003          ,0.0,13.0,612529.34,7738513.04,1318.1,1.66,0.06,61.7,0.05,0.06,0.096,7.8,0.13,1.73,IR,IR,IR,IR,IR
14,CNFDC14003          ,13.0,26.0,612522.92,7738511.82,1306.86,1.53,0.05,63.9,0.05,0.5,0.045,4.41,0.14,1.05,IR,IR,IR,HM,HM
15,CNFDC14003          ,26.0,36.0,612517.23,7738510.79,1296.92,0.89,0.12,67.1,0.05,0.05,0.042,2.49,0.1,0.48,HM,HM,IR,HM,HM
16,CNFDC14003          ,36.0,47.15,612511.96,7738509.85,1287.8,1.23,0.04,62.6,0.05,3.83,0.075,1.65,0.08,2.82,IM,IR,IR,IR,HM
17,CNFDC14003          ,47.15,60.767,612505.78,7738508.76,1277.13,1.437,0.033,64.91,0.05,1.431,0.142,1.536,0.091,2.496,HM,HM,IR,HM,HM
18,CNFDC14003          ,60.767,74.383,612498.94,7738507.56,1265.41,0.394,0.046,68.982,0.05,0.088,0.044,0.561,0.03,0.548,HM,HM,HM,HM,HM
19,CNFDC14003          ,74.383,88.0,612492.04,7738506.36,1253.73,0.258,0.03,68.944,0.05,0.03,0.035,0.555,0.021,0.376,HM,HM,HM,HM,HM
20,CNFDC14003          ,88.0,100.0,612485.49,7738505.22,1242.78,0.33,0.05,69.5,0.05,0.02,0.024,0.46,0.01,0.06,HM,HM,HM,HM,HM
21,CNFDC14003          ,100.0,112.0,612479.23,7738504.09,1232.61,0.248,0.087,69.775,0.05,0.02,0.032,0.368,0.01,0.088,HM,HM,HM,HM,HM
22,CNFDC14003          ,112.0,124.0,612472.85,7738502.95,1222.51,0.29,0.065,69.383,0.05,0.02,0.023,0.393,0.01,0.073,HM,HM,HM,HM,HM
23,CNFDC14003          ,124.0,139.135,612465.55,7738501.68,1211.15,0.601,0.033,68.882,0.05,0.017,0.033,1.387,0.013,0.244,HM,HM,HM,HM,HM
24,CNFDC14003          ,139.135,154.27,612457.3,7738500.25,1198.54,0.729,0.039,68.171,0.05,0.011,0.026,2.207,0.019,0.403,HM,HM,IR,HM,HM
25,CNFDC14003          ,154.27,167.27,612449.51,7738498.88,1186.91,0.65,0.03,59.4,0.05,0.03,0.016,14.3,0.005,0.4,IR,IR,IR,IR,IR
26,CNFDC14004          ,31.0,41.75,612506.02,7738446.84,1301.88,2.359,0.022,61.806,0.061,0.165,0.085,7.359,0.14,2.305,IR,IR,IR,IR,IR
27,CNFDC14004          ,47.6,61.173,612498.21,7738445.41,1285.72,0.999,0.04,65.772,0.073,0.027,0.052,2.589,0.05,0.782,HM,HM,IR,HM,HM
28,CNFDC14004          ,61.173,74.747,612492.32,7738444.34,1273.54,0.661,0.026,67.144,0.05,0.025,0.052,1.485,0.026,0.674,HM,HM,IR,HM,HM
29,CNFDC14004          ,74.747,88.32,612486.43,7738443.26,1261.36,0.399,0.051,66.756,0.05,0.02,0.042,1.76,0.02,0.417,HM,HM,IR,HM,HM
30,CNFDC14004          ,94.25,104.25,612478.74,7738441.86,1245.45,0.67,0.01,62.4,0.05,0.02,0.02,10.2,0.02,0.41,IR,IR,IR,IR,HM
31,CNFDC14005          ,0.0,13.0,612542.87,7738416.71,1328.51,2.23,0.02,43.8,0.05,0.04,0.027,33.1,0.16,1.12,IS,IS,IS,IG,IG
32,CNFDC14005          ,52.0,62.0,612520.96,7738411.14,1283.35,2.18,0.05,61.9,0.13,1.06,0.125,4.29,0.12,2.79,IM,IR,IR,IR,HM
33,CNFDC14005          ,62.0,73.28,612516.34,7738409.97,1273.84,1.418,0.035,65.688,0.121,0.041,0.079,1.607,0.078,1.181,HM,HM,IR,HM,HM
